City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,pekanbaru,0.5333,101.45,297.13,99,60,0.94,ID,1681938000
83,saint-benoit,-21.038,55.7194,298.23,84,71,4.57,RE,1681938000
84,lata,40.1629,-8.3327,291.45,61,19,0.21,PT,1681938000
85,tayu,-6.5397,111.0518,298.75,89,57,2.78,ID,1681938000
86,tibati,6.4667,12.6333,294.91,86,93,1,CM,1681938000
87,ilulissat,69.2167,-51.1,266.5,88,74,1.52,GL,1681938000
88,boguchany,58.3814,97.4531,265.41,91,100,1.95,RU,1681938000
89,sao miguel do araguaia,-13.275,-50.1628,301.41,71,71,1.91,BR,1681938000
90,aykhal,66,111.5,257.23,100,96,2.41,RU,1681938000
91,korla,41.7597,86.1469,282.43,22,95,2.75,CN,1681938000
92,port blair,11.6667,92.75,300.65,81,17,3.45,IN,1681938000
93,bonthe,7.5264,-12.505,301.81,75,80,2.57,SL,1681938000
94,luderitz,-26.6481,15.1594,287.66,94,80,4.28,NA,1681938000
95,hermanus,-34.4187,19.2345,289.97,75,100,3.38,ZA,1681938000
96,malabar,-33.9667,151.25,291.27,82,83,10.67,AU,1681938000
97,lugones,43.4027,-5.8122,287.46,84,1,0.99,ES,1681938000
98,okakarara,-20.5833,17.4333,293.55,37,55,0.9,NA,1681938000
99,port saint john's,-31.6229,29.5448,295.85,33,0,2.58,ZA,1681938000
100,tazovsky,67.4667,78.7,262.35,98,99,2.02,RU,1681938000
101,santyoku,37.4406,129.1708,291.25,83,16,4.17,KR,1681938000
102,veradale,47.6499,-117.2074,282.29,47,83,3.81,US,1681938000
103,aur,8.1499,171.1687,300.7,81,100,6.7,MH,1681938000
104,port alfred,-33.5906,26.891,299.97,57,77,4.19,ZA,1681938000
105,nebbi,2.4783,31.0889,295.17,70,85,1.66,UG,1681938000
106,elliot lake,46.3834,-82.6331,279.36,53,87,2.9,CA,1681938000
107,udachny,66.4167,112.4,255.37,100,92,1.78,RU,1681938000
108,palmer,42.1584,-72.3287,283.42,47,96,5.69,US,1681938000
109,kerikeri,-35.2268,173.9474,292.93,96,98,4.16,NZ,1681938000
110,kruisfontein,-34.0033,24.7314,293.47,50,100,1.12,ZA,1681938000
111,portland,45.5234,-122.6762,280.03,87,100,2.91,US,1681938000
112,bubaque,11.2833,-15.8333,299.84,74,25,8.59,GW,1681938000
113,kodiak,57.79,-152.4072,276.69,67,61,1.56,US,1681938000
114,mangrol,21.1167,70.1167,300.15,68,2,5.44,IN,1681938000
115,wailua homesteads,22.0669,-159.378,297.73,82,47,4.79,US,1681938000
116,flin flon,54.7682,-101.865,273.5,51,100,5.46,CA,1681938000
117,mount pearl,47.5166,-52.7813,274.99,85,83,5.23,CA,1681938000
118,fuglafjordur,62.244,-6.814,281.78,76,25,4.35,FO,1681938000
119,yellowknife,62.456,-114.3525,275.39,52,2,5.38,CA,1681938000
120,isafjordur,66.0755,-23.124,281.09,94,98,2.2,IS,1681938000
121,nemuro,43.3236,145.575,276.99,91,62,3.04,JP,1681938000
122,bailesti,44.0167,23.35,283.96,77,65,4.32,RO,1681938000
123,orange city,28.9489,-81.2987,299.82,40,60,5.24,US,1681938000
124,jamestown,42.097,-79.2353,281.98,58,12,4.45,US,1681938000
125,kapuskasing,49.4169,-82.4331,272.75,78,100,4.56,CA,1681938000
126,san patricio,28.017,-97.5169,300.67,61,74,8.17,US,1681938000
127,korsakov,46.6328,142.7813,277.67,93,60,2.19,RU,1681938000
128,los barrios,36.1848,-5.4921,289.41,83,83,4.74,ES,1681938000
129,palembang,-2.9167,104.7458,299.11,96,60,1.92,ID,1681938000
130,enewetak,11.3474,162.3373,299.5,82,100,10.51,MH,1681938000
131,lompoc,34.6391,-120.4579,290.53,49,46,6.98,US,1681938000
132,felipe carrillo puerto,19.5833,-88.05,304.61,54,88,2.72,MX,1681938000
133,sao joao de pirabas,-0.7747,-47.1772,298.12,93,100,1.1,BR,1681938000
134,shakawe,-18.3667,21.85,295.13,31,17,2.72,BW,1681938000
135,andergrove,-21.0833,149.1833,296.96,76,9,4.95,AU,1681938000
136,katabu,-4.9333,122.5167,296.82,96,96,1.31,ID,1681938000
137,kisiwani,-4.1333,37.95,294.56,93,97,1.38,TZ,1681938000
138,novodvinsk,64.4165,40.8122,276.03,95,100,3.29,RU,1681938000
139,klyuchi,52.2667,79.1667,266.62,83,7,3.61,RU,1681938000
140,anadyr,64.75,177.4833,269.21,87,57,4.76,RU,1681938000
141,pitimbu,-7.4706,-34.8086,302.98,75,81,4.24,BR,1681938000
142,rio grande,-32.035,-52.0986,289.1,53,100,6.97,BR,1681938000
143,tamiahua,21.2667,-97.45,301.47,74,92,7.13,MX,1681938000
144,bogotol,56.2078,89.5342,267.24,95,100,4.58,RU,1681938000
145,tamanrasset,22.785,5.5228,300.12,11,10,1.93,DZ,1681938000
146,kodinsk,58.6881,99.1844,265.02,92,100,2.83,RU,1681938000
147,puerto ayora,-0.7393,-90.3518,299.16,92,99,3.01,EC,1681938000
148,visakhapatnam,17.69,83.2093,301.01,83,15,3.76,IN,1681938000
149,copala,16.65,-98.9833,304.18,54,74,5.36,MX,1681938000
150,pires do rio,-17.2997,-48.2794,296.51,86,100,2.58,BR,1681938000
151,alice springs,-23.7,133.8833,286.84,75,0,8.07,AU,1681938000
152,port elizabeth,-33.918,25.5701,294.11,68,33,3.4,ZA,1681938000
153,banamba,13.55,-7.45,308.5,10,97,2.93,ML,1681938000
154,richards bay,-28.783,32.0377,295.04,81,0,6.1,ZA,1681938000
155,namdrik,5.5994,168.1028,301.28,79,100,6.73,MH,1681938000
156,kingston,17.997,-76.7936,302.59,70,22,2.08,JM,1681938000
157,stanley,54.868,-1.6985,280.38,82,8,2.52,GB,1681938000
158,tarija,-21.5355,-64.7296,295.39,39,14,4.05,BO,1681938000
159,navia,43.5354,-6.7194,288.09,78,4,1.24,ES,1681938000
160,tura,25.5198,90.2201,300.06,59,25,4.28,IN,1681938000
161,betio village,1.358,172.9211,301.67,78,53,5.33,KI,1681938000
162,priozersk,61.0393,30.1291,274.48,90,61,0.68,RU,1681938000
163,dryden,49.7833,-92.7503,277.99,33,100,5.71,CA,1681938000
164,illizi,26.4833,8.4667,303.12,8,1,6.75,DZ,1681938000
165,constantia,44.1833,28.65,283.46,92,100,4.87,RO,1681938000
166,chibougamau,49.9168,-74.3659,271.41,72,83,4.21,CA,1681938000
167,qarqin,37.4185,66.0436,288.42,19,26,2.14,AF,1681938000
168,pathein,16.7833,94.7333,299.97,81,5,4.17,MM,1681938000
169,okhotsk,59.3833,143.3,266.98,79,33,4.34,RU,1681938000
170,nagqu,31.5,92,275.37,54,100,3.44,CN,1681938000
171,suva,-18.1416,178.4415,300.53,94,60,2.99,FJ,1681938000
172,kolonia town,6.964,158.206,299.67,89,100,13.54,FM,1681938000
173,aripuana,-9.1667,-60.6333,301.67,79,92,0.76,BR,1681938000
174,pimentel,-6.8367,-79.9342,302.67,57,83,5.87,PE,1681938000
175,lauro de freitas,-12.8944,-38.3272,303.13,77,32,6.11,BR,1681938000
176,twon-brass,4.3151,6.2418,299.89,84,99,4.3,NG,1681938000
177,sitka,57.0531,-135.33,282.28,63,56,1.4,US,1681938000
178,peniche,39.3558,-9.3811,289.09,83,33,4.98,PT,1681938000
179,vadso,70.0744,29.7487,277.4,83,83,8.54,NO,1681938000
180,tolanaro,-25.0319,46.9987,297.37,90,57,3.77,MG,1681938000
181,pangody,65.85,74.4859,259.79,96,90,1.87,RU,1681938000
182,quelimane,-17.8786,36.8883,297.69,82,27,1.11,MZ,1681938000
183,hailin,44.5833,129.4167,284.47,54,100,7.77,CN,1681938000
184,benjamin aceval,-24.9667,-57.5667,298,49,7,2.25,PY,1681938000
185,cooper's town,26.8667,-77.5167,296.53,68,100,6.99,BS,1681938000
186,gizo,-8.103,156.8419,300.55,66,52,1.57,SB,1681938000
187,bodden town,19.2833,-81.25,302.29,65,28,3.93,KY,1681938000
188,louisville,38.2542,-85.7594,299.46,36,33,4.61,US,1681938000
189,shache,38.4167,77.2406,286.94,27,100,4.84,CN,1681938000
190,norderney,53.7,7.15,282.54,56,2,7.87,DE,1681938000
191,arawa,-6.2132,155.5367,299.01,85,46,0.99,PG,1681938000
192,darwin,-12.4611,130.8418,295.77,81,26,1.9,AU,1681938000
193,karratha,-20.7377,116.8463,296.73,35,47,6.44,AU,1681938000
194,black point,-34.6187,137.8972,287.7,66,61,2.76,AU,1681938000
195,utrik,11.2278,169.8474,299.85,78,100,8.63,MH,1681938000
196,vilyuysk,63.7553,121.6247,259,100,84,1.39,RU,1681938000
197,san angelo,31.4638,-100.437,303.26,43,0,9.22,US,1681938000
198,padang,-0.9492,100.3543,298.75,88,100,1.29,ID,1681938000
199,strezhevoy,60.7333,77.5889,270.19,96,97,3.92,RU,1681938000
200,fort st. john,56.2499,-120.8529,277.94,68,100,3.71,CA,1681938000
201,cockburn town,21.4612,-71.1419,299.23,76,15,5.44,TC,1681938000
202,saint-philippe,-21.3585,55.7679,298.66,85,57,5.63,RE,1681938000
203,ginir,7.1333,40.7,288.33,85,22,2.33,ET,1681938000
204,comodoro rivadavia,-45.8667,-67.5,298.2,37,0,10.68,AR,1681938000
205,kuanda,56.3161,116.0806,265.64,81,100,2.17,RU,1681938000
206,port lincoln,-34.7333,135.8667,287.99,67,99,2.77,AU,1681938000
207,eureka,40.8021,-124.1637,284.16,67,32,3.21,US,1681938000
208,guadalupe y calvo,26.1,-106.9667,293.56,19,88,5.86,MX,1681938000
209,gassol,8.5333,10.4667,302.69,56,75,1.75,NG,1681938000
210,hammerfest,70.6634,23.6821,278.24,90,83,12.74,NO,1681938000
211,medicine hat,50.0501,-110.6683,275.3,86,100,7.53,CA,1681938000
212,flying fish cove,-10.4217,105.6791,299.97,80,68,8.04,CX,1681938000
213,hami,42.8,93.45,281.67,16,91,3.47,CN,1681938000
214,emerald,-23.5333,148.1667,292.11,87,8,3.45,AU,1681938000
215,sungai raya,0.7,108.9,299.2,84,99,0.96,ID,1681938000
216,naze,28.3667,129.4833,292.41,96,100,2.29,JP,1681938000
217,codrington,-38.2667,141.9667,283.26,89,70,3.6,AU,1681938000
218,new norfolk,-42.7826,147.0587,284.5,77,86,2.68,AU,1681938000
219,guaratinga,-16.5667,-39.5667,308.36,39,34,2.79,BR,1681938000
220,kishanpur,25.65,81.0167,305.57,18,19,3.01,IN,1681938000
221,opuwo,-18.0607,13.84,296.82,48,61,2.21,NA,1681938000
222,gorontalo,0.5412,123.0595,296.99,94,23,1.24,ID,1681938000
223,talnakh,69.4865,88.3972,257.76,93,97,2.75,RU,1681938000
224,madalena,41.2162,-8.3345,290.28,68,26,0.67,PT,1681938000
225,narasaraopet,16.25,80.0667,300.31,69,0,2.3,IN,1681938000
226,san julian,21.0167,-102.1667,303.02,12,58,7.36,MX,1681938000
227,marsh harbour,26.5412,-77.0636,296.98,69,100,7.32,BS,1681938000
228,lazaro cardenas,17.9583,-102.2,302.32,57,66,4.97,MX,1681938000
229,istgah-e rah ahan-e garmsar,35.2346,52.3094,295.3,23,1,2.06,IR,1681938000
230,el bauga,18.262,33.9081,302.97,8,0,4.77,SD,1681938000
231,'ain el hadjar,34.7585,0.1453,287.7,67,74,6.74,DZ,1681938000
232,vangaindrano,-23.35,47.6,295.34,93,13,1.34,MG,1681938000
233,oltinko'l,40.8011,72.1634,286.93,26,47,1.15,UZ,1681938000
234,sinabang,2.4803,96.3801,300.08,83,97,2.54,ID,1681938000
235,punta arenas,-53.15,-70.9167,283.61,64,30,12.93,CL,1681938000
236,toliara,-23.35,43.6667,298.39,77,47,2.44,MG,1681938000
237,kununurra,-15.7667,128.7333,297.42,49,12,4.91,AU,1681938000
238,terenozek,45.05,64.9833,283.06,24,23,4.19,KZ,1681938000
239,pacific grove,36.6177,-121.9166,284.87,67,7,9.93,US,1681938000
240,haiku-pauwela,20.9219,-156.3051,295.86,93,100,6.95,US,1681938000
241,paoua,7.2427,16.4406,301.14,50,95,2.08,CF,1681938000
242,petropavlovsk-kamchatsky,53.0452,158.6483,274.85,75,83,3.99,RU,1681938000
243,akalgarh,29.8167,75.8833,298.68,46,97,2.82,IN,1681938000
244,pizarro,4.9533,-77.366,301.72,75,100,3.14,CO,1681938000
245,guangzhou,23.1167,113.25,298.66,79,63,2.57,CN,1681938000
246,nicoya,10.1483,-85.452,308.94,33,78,1.5,CR,1681938000
247,vila franca do campo,37.7167,-25.4333,290.03,87,90,11.24,PT,1681938000
248,kedrovyy,56.1667,91.8167,266.96,94,100,3.85,RU,1681938000
249,fortuna,40.5982,-124.1573,285.21,59,38,3.59,US,1681938000
250,qamdo,31.1667,97.2333,276.32,49,27,2.14,CN,1681938000
